Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
BGSU,Bowling Green State University,BGSU,Upper Sandusky,Wyandot,Ohio,40.829722,-83.279167,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Columbus Grove,Putnam,Ohio,40.919444,-84.06,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Leipsic,Putnam,Ohio,41.101667,-83.984167,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Delphos,Allen,Ohio,40.844444,-84.339444,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Delphos,Van Wert,Ohio,40.844444,-84.339444,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Fostoria,Hancock,Ohio,41.159167,-83.415278,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Fostoria,Seneca,Ohio,41.159167,-83.415278,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Fostoria,Wood,Ohio,41.159167,-83.415278,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Kenton,Hardin,Ohio,40.646667,-83.608611,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Lima,Allen,Ohio,40.740833,-84.115,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Wauseon,Fulton,Ohio,41.552222,-84.139167,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
DeniU,Denison University,DeniU,Granville,Licking,Ohio,40.0675,-82.512222,1,,,,1,,,1831,1831,1832,,,,,,,,,,,,,,,,,,1
DeniU,Denison University,DeniU,,Clark,Ohio,39.92,-83.78,0,,,,1,,,1831,1831,1832,,,,,,,,,,,,,,,,,,1
DeniU,Denison University,DeniU,Newport,Campbell,Kentucky,39.088611,-84.490278,0,,,,1,,,1831,1831,1832,,,,,,,,,,,,,,,,,,1
DeniU,Denison University,DeniU,Zanesville,Muskingum,Ohio,39.946111,-82.012222,0,,,,1,,,1831,1831,1832,,,,,,,,,,,,,,,,,,1
